a	b	l1	r	marker	divs
C94L6	C94L7	0.10588101706311477	0.9261888258993214	25	1122.6448635001568
C94L6	C94L8	0.1320248481109133	0.8918710413018358	25	1399.8450496348587
C94L6	C94L9	0.17819114475132303	0.9254135577495509	25	1889.3412523327047
C94L6	C94N1	0.2908937724017979	NA	25	3084.314908085897
C94L6	C94N2	0.2928715424645799	0.09615599365055452	25	3105.2849881224633
C94L6	C94N3	0.2939059488102408	-0.3113440570056048	25	3116.252685665791
C94L6	C94P1b	0.21997143387867268	0.5379539800301961	25	2332.33309624757
C94L6	C94P1d	0.19878093344283823	0.55946507813021	25	2107.6525337714206
C94L6	C94P1e	0.20173023630967435	0.5185767581614067	25	2138.9236700543884
C94L6	C94P1f	0.2656894349597505	0.5162783719214109	25	2817.076070076129
C94L7	C94L8	0.14334290979415307	0.9110248673150706	25	1519.8492219209354
C94L7	C94L9	0.18542805592405984	0.8477150705000812	25	1966.0734313486744
C94L7	C94N1	0.3093700367907191	NA	25	3280.2167221053915
C94L7	C94N2	0.31053563814716134	0.12063978133677179	25	3292.575466023753
C94L7	C94N3	0.3164072060811085	-0.3696570375533453	25	3354.831059751274
C94L7	C94P1b	0.19167352785443256	0.6907273717687381	25	2032.2934883262901
C94L7	C94P1d	0.1992533912804005	0.6975596932169605	25	2112.6619526386717
C94L7	C94P1e	0.16660607617880907	0.7120336888698853	25	1766.5060351522995
C94L7	C94P1f	0.2176834775682486	0.6474415111768279	25	2308.0741452943575
C94L8	C94L9	0.22827836398631868	0.828163114124179	25	2420.4105692023736
C94L8	C94N1	0.2411294746438319	NA	25	2556.669492379598
C94L8	C94N2	0.24098137621954455	0.12722959455773147	25	2555.0992209567275
C94L8	C94N3	0.25173978351836074	-0.3876498709437562	25	2669.169438909574
C94L8	C94P1b	0.18257544550802104	0.7548663323963392	25	1935.8275145643274
C94L8	C94P1d	0.12541427373065922	0.765090967200791	25	1329.7538512441765
C94L8	C94P1e	0.1820827250803781	0.6653217947444277	25	1930.603253666784
C94L8	C94P1f	0.22660514687396238	0.7675011608249654	25	2402.6696308471287
C94L9	C94N1	0.3611569446759573	NA	25	3829.3076521562684
C94L9	C94N2	0.35744560955013305	-1.5824823203588388e-4	25	3789.956771032311
C94L9	C94N3	0.37003039083932554	-0.31410224270079456	25	3923.391832995903
C94L9	C94P1b	0.24281239817754774	0.5553920667856781	25	2574.513346860741
C94L9	C94P1d	0.24730996835593316	0.5755149333639561	25	2622.200592403406
C94L9	C94P1e	0.22922254075567483	0.5598990807808878	25	2430.421572399689
C94L9	C94P1f	0.29566950994444285	0.47060843890384313	25	3134.9515318206245
C94N1	C94N2	0.03491081693048891	NA	25	370.15558024197486
C94N1	C94N3	0.02052418237220296	NA	25	217.61566479815127
C94N1	C94P1b	0.27302591485861977	NA	25	2894.8639654240565
C94N1	C94P1d	0.182444525434213	NA	25	1934.4393833160032
C94N1	C94P1e	0.22599383880407511	NA	25	2396.187998126638
C94N1	C94P1f	0.34722424364092996	NA	25	3681.580744297676
C94N2	C94N3	0.03342813719737705	0.44179320417747503	25	354.4348889153926
C94N2	C94P1b	0.2658803846965759	0.4021397173779025	25	2819.1006892871997
C94N2	C94P1d	0.17476552329836398	0.4724387266567275	25	1853.0197620870263
C94N2	C94P1e	0.2172162079438956	0.4140108090597591	25	2303.119736485299
C94N2	C94P1f	0.34207600911741487	0.43631861375289815	25	3626.994575745166
C94N3	C94P1b	0.27178488456528427	0.01444972659704221	25	2881.7054567233827
C94N3	C94P1d	0.18952292347285635	-0.02409452509521476	25	2009.4908648781388
C94N3	C94P1e	0.2340584138223302	-0.0278753200717506	25	2481.695806529715
C94N3	C94P1f	0.35840788305532606	-0.01424012327953571	25	3800.1596519438467
C94P1b	C94P1d	0.10672564627099618	0.9835611584553935	25	1131.6003747720692
C94P1b	C94P1e	0.08493639367567088	0.9381635174793892	25	900.5713085224688
C94P1b	C94P1f	0.10200513627940466	0.9436846206574129	25	1081.5493227312447
C94P1d	C94P1e	0.08854534163952898	0.9376065413612444	25	938.836589747049
C94P1d	C94P1f	0.1815668323734682	0.9213640068418515	25	1925.1332996221952
C94P1e	C94P1f	0.14956406723130955	0.8339302227490296	25	1585.8114749817114
C95L1	C95L12	0.5431951537807449	0.9265124041617638	18	1151.066541957309
C95L1	C95L2	0.6229844261418374	0.9023878160365338	18	1320.1452997163371
C95L1	C95L3	0.6283694861825192	0.882138639733214	18	1331.5565989448316
C95L1	C95L4	0.9950878086695	0.9130455157123141	18	2108.657035867834
C95L1	C95L5	0.5868288101640352	0.8717867594100583	18	1243.5291525245977
C95L1	C95L7	1.1351748640623631	0.9736378698812403	18	2405.5107933097343
C95L1	C95L8	0.7299340588470429	0.9316288112642658	18	1546.7786616392896
C95L1	C95L9	0.775756039493511	0.9363521996569191	18	1643.878476395101
C95L1	C95N2	1.3158413322263678	NA	18	2788.3550166238506
C95L1	C95N3	1.3153960560385924	-0.4080853144981313	18	2787.4114468623916
C95L1	C95P1a	1.112957261966321	0.9518746851769735	18	2358.4302215533867
C95L1	C95P1c	0.6042527713352809	0.9349449858454708	18	1280.4516813671132
C95L12	C95L2	0.22145511012813301	0.9758479270475734	18	469.27805971710995
C95L12	C95L3	0.22172104275877538	0.972798295564014	18	469.8415885914318
C95L12	C95L4	0.4961961006429687	0.9791779574459363	18	1051.4724325584532
C95L12	C95L5	0.18587685793381395	0.9821871090914372	18	393.8853846588746
C95L12	C95L7	0.6295371588928362	0.9441027702477928	18	1334.0309748287982
C95L12	C95L8	0.24567557582651556	0.9843732992921254	18	520.6028322265606
C95L12	C95L9	0.2828507167273779	0.9860823960171139	18	599.3794203196192
C95L12	C95N2	1.8226647661942574	NA	18	3862.347473036349
C95L12	C95N3	1.8222194900064825	-0.3101175296815107	18	3861.4039032748915
C95L12	C95P1a	0.6130475981615886	0.9507561766783998	18	1299.0885024646695
C95L12	C95P1c	0.15967840966932523	0.9883831435533703	18	338.3691359615883
C95L2	C95L3	0.1955566903359473	0.9706878770035279	18	414.3975912430065
C95L2	C95L4	0.4508889613793724	0.9604369455096875	18	955.4636008243313
C95L2	C95L5	0.2903118649013969	0.9496685342903077	18	615.1900879368154
C95L2	C95L7	0.6206207984383288	0.922344848109802	18	1315.1366159160207
